"","GSPC","CALM","ROLL","SYNA","EXAS","TSRA","UFPI","POWI","SAFM","WERN","ARLP","NXST","IIVI","STMP","MNRO","HTLD","SKYW","NXTM","NTGR","AHGP","SFLY","ISCA","EGOV","MANT","SYNT","COKE","WDFC","NAVG","CSQ","FOSL","PLCE","SCHL","EXLS","ABCB","ASTE","TTMI","IRBT","PRAA","BOFI","OSIS","CENT","RMBS","GIII","CCMP","PRGS","HUBG","HMSY","ROCK","ININ","CSGS","CNSL"
"43",20.8149,23.145983,53.104481,40,13.72,18.300869,39.872185,53.571724,66.483856,23.407812,28.841673,34.112362,17.68,39.860001,41.793686,14.528755,14.590853,12.96,29.809999,46.599182,53.59,32.946552,16.667521,27.008791,23.26453,61.921879,54.366581,57.796513,7.700148,109.900002,52.55188,28.764996,28,18.869486,33.841522,9.24,34.959999,49.77,13.5625,70.389999,7.49,9.75,25.73,36.538826,25.59,38.25,24.190001,15.4,56.799999,22.067907,13.878403
"44",19.2507,20.839605,57.818638,38.66,11.57,16.812843,36.189442,50.708019,61.773464,22.415462,28.818396,31.891901,19.280001,41.880001,43.044712,13.739148,12.438895,12.35,28.940001,45.600163,51.959999,30.162888,20.142183,26.01219,23.293701,60.932835,54.999962,54.575623,7.370541,116.139999,51.715561,27.949221,27.110001,18.781265,33.511234,9.54,32.669998,53.040001,16.192499,72.699997,6.46,8.16,22.905001,35.689087,24.459999,37.150002,24.99,12.88,58.900002,21.937439,13.235663
"45",17.7303,21.953974,63.781521,44.25,11.8,17.729574,40.587467,52.692757,61.733974,22.697601,28.378157,42.28503,18.799999,45.93,45.144928,14.025662,14.049291,13.16,30.860001,44.442348,55.880001,31.389259,20.911314,26.496796,25.961115,60.661335,61.352657,57.607052,7.551078,116.239998,56.256958,27.153646,28.48,18.016682,34.868748,9.74,37.650002,59.93,16.202499,74.379997,7.04,9.4,27.295,38.050571,25.85,39.23,21.49,14.26,63.490002,23.492952,13.680026
"46",17.4352,23.198725,66.588722,46.48,11.02,17.43622,51.152386,55.728233,59.813068,22.580252,29.059572,42.171032,17.059999,45.439999,44.72683,14.193694,14.552433,13.27,28.76,44.264221,49.139999,31.836981,22.277653,25.741323,27.821499,61.639423,68.851189,56.081367,8.029644,126.940002,53.086735,27.313478,28.91,17.938263,32.783997,8.74,33.869999,59.450001,15.105,72.839996,7.59,8.74,28.360001,40.40218,25.969999,36.73,21.16,16.01,61.450001,26.12829,15.113255
"47",17.09,25.128523,66.201523,50.509998,12.28,18.43021,50.439354,52.089684,64.667381,23.467472,28.479219,47.307365,16.35,46.07,51.591427,18.117718,16.352135,10.21,32.110001,41.198425,47.23,33.413746,22.396334,26.506008,28.641497,66.09787,71.482147,66.651466,8.220647,127.269997,53.485443,29.074717,26.360001,20.065369,35.594669,9.7,33.209999,58.400002,20.49,76.699997,7.77,8.59,30.125,44.532314,26.34,37.630001,22.91,17.700001,65.040001,27.075512,15.681117
"48",16.7625,27.543055,68.486,51.810001,11.75,18.16297,50.604347,54.389191,68.442963,24.11095,29.929029,53.079113,17.58,42.099998,54.919056,19.413973,14.349241,10,32.939999,44.118057,50.93,34.503853,22.846466,27.781683,29.477695,71.247467,70.931259,62.981846,8.443974,119.940002,55.401196,32.378227,27.620001,20.69272,37.568913,8.58,34.77,52.84,19.6075,53.110001,6.87,9.47,36.98,45.154797,25.83,39.880001,22.700001,18.59,67.360001,27.718096,15.924486
"49",17.5769,23.201401,62.765118,58.360001,13,18.291983,51.00227,57.711784,70.547501,25.459133,32.027946,45.764423,15.27,39.459999,54.090786,20.83885,12.622288,12.95,31.91,47.052738,47.360001,32.674026,19.971136,27.011259,27.306168,66.709869,65.578499,59.461803,8.350928,111.830002,51.219604,31.546673,25.15,20.065369,36.178188,8.01,35.34,50.220001,20.6875,57.93,6.46,8.91,34.985001,39.838982,24.17,41.450001,23.030001,17.860001,75.940002,28.246058,16.191233
"50",17.8637,24.209955,62.194,65.040001,13.45,20.015207,54.088612,57.711987,72.910149,25.253975,33.981377,40.795452,16.389999,35.18,58.134682,20.165991,12.321526,13.87,34.18,47.437843,54.560001,32.829758,17.858276,27.169056,30.582907,73.90062,69.566833,60.449009,8.702722,114.910004,52.678295,33.736481,27.99,20.624104,39.115238,8.4,41.919998,54.23,23.275,61.470001,7.57,9.22,34.744999,43.643047,24.940001,39.07,20.459999,18.43,79.629997,26.398186,15.76123
"51",18.0609,28.911947,61.661602,60.02,14.17,21.876011,53.710098,64.202507,74.475769,24.921816,33.184689,35.863293,15.43,33.560001,55.528004,22.471943,12.418977,12.74,33.73,47.376827,42.68,33.082821,17.738852,27.491125,29.137383,83.025848,74.013153,61.216839,8.733747,116.57,48.562737,32.971485,30.91,22.839428,42.807858,8.45,41.049999,57.860001,21.4375,59.860001,8.13,10.75,35.790001,43.475079,21.799999,39.990002,19.049999,18.870001,72.5,24.680761,16.546812
"52",18.8196,27.733644,60.267677,62.150002,12,20.302198,49.002945,46.097363,78.062447,25.059225,36.730331,38.090408,14.4,34.709999,55.059414,21.55088,11.289979,11.44,32.299999,50.94611,40.93,30.600878,16.847776,27.883722,26.032419,80.580811,69.805016,56.809307,8.926096,106.650002,46.798058,31.616726,28.299999,20.849556,38.947254,7.89,33.5,57.150002,20.1525,55.810001,8.13,12.09,35.884998,42.852592,21.459999,44.650002,16.17,17.08,62.57,24.984058,16.792683
