"","GSPC","IDXX","SGEN","NTAP","TSCO","FFIV","SNPS","WYNN","VRSN","LULU","STLD","ANSS","SBNY","OTEX","ALGN","SEIC","TRMB","ODFL","BBBY","JKHY","AGNC","SRCL","JBLU","CPRT","MKTX","CSGP","BEAV","LAMR","ULTI","SPLS","FTNT","DXCM","UTHR","OZRK","IPGP","BRCD","WOOF","ARCC","CGNX","FLIR","PDCO","EXEL","CASY","NBIX","URBN","TTWO","COLM","ATHN","VSAT","POOL","ALNY"
"31",17.6618,44.084999,26.16,30.425137,43.571503,93.379997,30.290001,77.506088,44.419998,56.48,11.502439,59.959999,64.5,21.336658,33.959999,19.909325,22.129999,28.266666,60.596474,32.698238,19.226894,92.849998,5.51,23.76,28.879086,82.529999,27.533627,26.551193,89.470001,10.794992,24.01,11.01,54.779999,15.082827,51.830002,4.761839,18.200001,11.041884,16.142715,19.22526,31.545954,6.25,57.015137,7.6,30.549999,8.78,23.816303,91.5,38.299999,34.581451,18.690001
"32",18.7908,47.529999,26.540001,32.148018,45.883816,97.489998,33.029999,85.2939,47.68,65.190002,10.904563,69.699997,64.629997,25.509161,33.950001,20.445127,24.514999,29.853333,66.780388,34.797779,19.06275,91.519997,4.9,26.709999,31.229418,81.25,28.256536,28.974482,99.190002,9.252851,26.51,13.3,54.119999,15.040656,61.490002,5.557076,19.34,11.466829,17.288311,18.676922,31.425694,4.43,54.252163,7.38,37.540001,10.25,24.718739,88.370003,38.700001,37.113323,18.290001
"33",18.5901,49.674999,26.940001,30.620708,47.522518,104.639999,32.990002,95.437897,48.689999,73.940002,10.11961,73.400002,67.080002,26.14452,36.970001,20.153727,23.83,30.15,62.634583,35.74498,19.60467,90.480003,4.8,27.73,30.308931,81.540001,29.554962,32.412579,102.099998,9.853101,24.120001,15.03,55.880001,16.151136,57.299999,5.67205,19.719999,11.6642,16.564972,18.846712,31.675472,4.83,54.818188,7.98,37.560001,10.44,25.475098,91.769997,37.380001,39.176746,18.790001
"34",18.7035,48.099998,25.16,25.060926,46.22501,82.589996,32.200001,100.084129,37.07,68.839996,11.38006,70.25,71.239998,25.580284,26.57,20.539129,23.584999,33.580002,57.34544,35.886639,18.698095,94.760002,5.29,28.790001,29.954161,82.900002,31.646473,34.337212,101.360001,9.853101,19.370001,13.1,45.669998,15.404739,53.150002,5.078018,19.58,11.868359,17.465551,18.327909,31.02017,4.74,49.613029,7.33,35.75,11.15,26.661636,64.290001,38.84,39.629005,16.17
"35",18.001,46.735001,25.309999,29.531101,43.16647,93.68,32.860001,99.515038,34.150002,71.779999,11.63215,66.330002,70.160004,27.220835,27.389999,20.689529,27.82,33.439999,58.379406,36.817917,17.876513,93.470001,5.14,30.15,29.693195,86.860001,33.239681,34.35471,94.510002,10.007055,19.98,13.08,52.549999,14.953042,59.099998,5.442102,20.780001,12.072515,17.212946,19.314159,31.670292,4.88,47.543816,7.48,37.700001,12.37,27.480745,63.689999,38.23,39.62244,16.969999
"36",18.0349,46.400002,23.17,31.244669,42.559578,97.150002,31.84,99.594711,38.82,76.230003,12.453383,67.339996,71.339996,26.50013,27.75,22.405714,29.889999,34.279999,55.585705,37.187325,17.059572,93.279999,5.72,29.5,33.965321,89.370003,34.671455,33.899796,94.410004,9.843246,21.02,13.59,53.419998,15.748217,66.650002,5.106761,21.049999,12.209011,18.204191,21.131962,31.924086,4.57,51.10479,7.48,39.360001,11.01,25.325951,73.290001,38.900002,40.029163,18.25
"37",19.9491,47.605,29.450001,33.526321,49.933807,104.879997,33.439999,110.865417,43.41,69,13.795774,73.599998,73.93,27.666534,31.360001,25.880806,31.25,37.279999,58.359524,39.290127,18.66518,94.349998,5.81,35.91,36.380421,93.779999,36.138329,37.302895,101.540001,11.64784,23.59,15.23,53.889999,17.163557,65.480003,5.480427,21.6,12.49505,19.624306,22.504784,33.696095,4.66,52.833584,9.06,42.799999,12.17,24.248552,86.470001,38.41,43.339706,24.129999
"38",20.4111,46.060001,28.139999,31.514744,50.186771,94.43,35.029999,104.339951,45.810001,67.050003,13.850195,75.800003,74.269997,26.059172,31.440001,27.138369,29.715,35.98,56.420834,41.535973,18.718306,95.919998,6.05,34.139999,37.71286,100.739998,36.924397,40.452297,98.269997,11.371539,24.18,14.92,59.810001,18.141766,59.290001,5.375034,21.959999,12.920622,20.381371,25.011892,33.891945,4.56,54.629135,10.58,40.52,14.64,26.466244,93.790001,46.959999,43.245121,23.690001
"39",20.7532,46.195,35.509998,31.812756,50.254333,89.080002,35.880001,111.712479,47.27,62.349998,14.504329,81.419998,78.760002,27.984213,33.509998,27.695152,29.959999,38.200001,64.046341,43.901581,20.108862,106.18,6.9,34.27,36.013557,109.459999,42.307598,42.499409,104.160004,11.691556,23.68,16.719999,60.869999,20.958252,66.410004,5.528333,23.49,12.893009,20.856392,24.707912,35.477425,4.62,56.279881,12.16,38.740002,16.15,27.586283,97.040001,48.439999,45.553196,24.370001
"40",20.8012,43.98,36.950001,32.492596,51.721474,76.43,35.57,122.548126,46.07,76.129997,13.737098,80.860001,71.610001,31.004536,33.119999,27.512756,28.74,38.5,68.40094,44.082092,20.433992,108.32,6.89,35.25,40.860424,108.410004,44.034157,40.959702,96.589996,11.526027,17.959999,16.41,66.779999,19.421562,63.57,5.576239,24.1,12.935748,19.644098,23.093016,35.548935,5.19,56.062473,11.54,41.439999,15.26,27.929441,96.260002,48.470001,46.521202,23.950001
